Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 17:35:56;0;Salvador;1;21;Almeirao, refogado;1;----;100.00;-100.00;-100.00;26.49;6;9;19;34;187;180.29
18-10-2017 17:35:57;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-100.00;-100.00;43.51;6;9;20;35;187;179.16
18-10-2017 17:36:05;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-100.00;-100.00;39.92;6;9;21;36;187;171.60
18-10-2017 17:36:06;0;Salvador;1;17;Agriao, cru;0;----;97.29;-90.00;-100.00;27.21;7;9;21;37;197;170.25
18-10-2017 17:36:18;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-100.00;-100.00;13.96;7;9;22;38;197;158.73
18-10-2017 17:36:38;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-100.00;-100.00;-17.12;7;9;23;39;197;138.50
18-10-2017 17:36:39;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-100.00;-100.00;-1.86;7;9;24;40;197;137.10
18-10-2017 17:36:40;0;Salvador;1;16;Acelga, crua;0;----;98.24;-90.00;-100.00;-13.61;8;9;24;41;207;136.42
18-10-2017 17:36:47;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-100.00;-100.00;-4.54;8;9;25;42;207;129.69
18-10-2017 17:36:47;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-100.00;-100.00;12.92;8;9;26;43;207;128.96
18-10-2017 17:36:48;0;Salvador;1;22;Batata, baroa, crua;0;----;98.59;-90.00;-100.00;1.51;9;9;26;44;217;128.53
18-10-2017 17:36:49;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-100.00;-100.00;17.27;9;9;27;45;217;127.05
18-10-2017 17:36:51;0;Salvador;1;32;Cenoura, cozida;1;----;100.00;-100.00;-100.00;20.69;9;10;27;46;220;124.99
18-10-2017 17:36:55;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-100.00;-100.00;30.82;9;10;28;47;220;121.63
18-10-2017 17:36:57;0;Salvador;1;16;Acelga, crua;0;----;92.19;-90.00;-100.00;13.01;10;10;28;48;230;118.95
18-10-2017 17:36:58;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-100.00;-100.00;30.18;10;10;29;49;230;118.15
18-10-2017 17:36:59;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-100.00;-100.00;49.83;10;10;30;50;230;117.65
18-10-2017 17:37:01;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-100.00;-100.00;62.61;10;10;31;51;230;115.45
18-10-2017 17:37:02;0;Salvador;1;----;Garrafa de agua;----;----;88.14;-60.00;-100.00;40.76;10;10;31;51;230;114.69
